AD,University of Andorra,http://www.uda.ad/,ChIJl48WIIP0pRIRjOCiQ5dy_1o
AE,Abu Dhabi University,http://www.adu.ac.ae/,ChIJDVVVRXVHXj4RGf0LjSI-zlw
AE,Ajman University of Science & Technology,http://www.ajman.ac.ae/,ChIJVVVVye_39T4RmJoJg0U_tgg
AE,Alain University of Science and Technology,http://www.alainuniversity.ac.ae/,ChIJP-JMVF-xij4RpZ0qIFU9Xak
AE,Al Ghurair University,http://www.agu.ae/,ChIJ84JenoFjXz4Rz3qTLVBMUcs
AE,Alhosn University,http://www.alhosnu.ae/,ChIJIYeVeJ1oXj4RBcnQRv1KsJ8
AE,Al Khawarizmi International College,http://www.khawarizmi.com/,ChIJdwscci-yij4RZzQVx_8ZgTM
AE,American College Of Dubai,http://www.acd.ac.ae/,ChIJ_3ORWQ1dXz4R3ee8mPv8HfM
AE,American University in Dubai,http://www.aud.edu/,ChIJF1Un6FxrXz4RRm2znrwh7d8
AE,American University in the Emirates,http://www.aue.ae/,ChIJS0TT9I5jXz4RIg5saP-fTK0
AE,American University of Sharjah,http://www.aus.edu/,ChIJKaD3-4n19T4RkB-VBIddIjQ
AE,British University in Dubai,http://www.buid.ac.ae/,ChIJaxmlMYxjXz4RQkV8T704O6k
AE,Dubai Medical College for Girls,http://www.dmcg.edu/,ChIJTej-chFeXz4R6afZ2hF4hfQ
